key,title,company,location,url,match,human_skill_overlap,human_role_fit,human_spam
service manager at spejlblank rengøring – full-time|spejlblank rengøring aps,Service Manager at Spejlblank Rengøring – Full-time,Spejlblank Rengøring ApS,2720 Vanløse,https://www.jobindex.dk/vis-job/r14004050,65.8,,,
sundheds- og kirkeministeriet søger departementschef|sundheds- og kirkeministeriet,Sundheds- og Kirkeministeriet søger departementschef,Sundheds- og Kirkeministeriet,1057 København K,https://www.jobindex.dk/vis-job/r14005310,65.8,,,
deputy store manager|change of scandinavia a/s,Deputy Store Manager,CHANGE of Scandinavia A/S,København S,https://www.jobindex.dk/vis-job/h1699549,65.7,,,
det kgl. bibliotek søger license manager med stærke procesevner og kommunikationserfaring|det kgl. bibliotek,Det Kgl. Bibliotek søger License Manager med stærke procesevner og kommunikationserfaring,Det Kgl. Bibliotek,København N,https://www.jobindex.dk/vis-job/h1699139,65.7,,,
beauty advisor for loewe fragrances|sæther nordic a/s,Beauty Advisor for Loewe Fragrances,Sæther Nordic A/S,Copenhagen,https://www.jobindex.dk/vis-job/h1698742,65.7,,,
teamleder/salgskoordinator til fyns kran udstyr på avedøre holme|fyns kran udstyr a/s,Teamleder/salgskoordinator til Fyns Kran Udstyr på Avedøre Holme,Fyns Kran Udstyr A/S,Hvidovre,https://www.jobindex.dk/vis-job/h1698309,65.7,,,
deputy store manager til jysk lyngby|jysk,Deputy Store Manager til JYSK Lyngby,JYSK,Kongens Lyngby,https://www.jobindex.dk/vis-job/h1698082,65.7,,,
studentermedhjælper – operations & ai|danmarks skibskredit a/s,Studentermedhjælper – Operations & AI,Danmarks Skibskredit A/S,København K,https://www.jobindex.dk/vis-job/h1698412,65.6,,,
kursusrådgiver til udvikling og administration af kursusudbuddet i styrelsen for samfundssikkerhed|styrelsen for samfundssikkerhed,Kursusrådgiver til udvikling og administration af kursusudbuddet i Styrelsen for Samfundssikkerhed,Styrelsen for Samfundssikkerhed,København Ø,https://www.jobindex.dk/vis-job/h1698217,65.6,,,
project planner in civil & infrastructure in copenhagen|mt højgaard danmark a/s,Project Planner in Civil & Infrastructure in Copenhagen,MT Højgaard Danmark A/S,Søborg or Copenhagen,https://www.jobindex.dk/vis-job/h1689941,65.6,,,
børnehavepædagog søges til åkanden i charlottenlund|gentofte kommune,Børnehavepædagog søges til Åkanden i Charlottenlund,Gentofte Kommune,Charlottenlund,https://www.jobindex.dk/vis-job/h1698848,65.6,,,
finansiel rådgiver til lån & spar i valby|lån & spar bank,Finansiel rådgiver til Lån & Spar i Valby,Lån & Spar Bank,Valby,https://www.jobindex.dk/vis-job/h1689084,65.6,,,
fx pricing devops|danske bank,FX Pricing DevOps,Danske Bank,1577 København V,https://ejqi.fa.ocs.oraclecloud.eu/hcmUI/CandidateExperience/en/sites/CX_1001/job/24703,65.5,,,
ai architect|kpmg,AI Architect,KPMG,2100 København Ø,https://candidate.hr-manager.net/ApplicationInit.aspx?cid=1762&ProjectId=144508&DepartmentId=19006&MediaId=5&SkipAdvertisement=False,65.5,,,
adjunkt/lektor i pædagogik og didaktik til praksisorienteret videreuddannelse på grundskoleområdet|københavns professionshøjskole,Adjunkt/lektor i pædagogik og didaktik til praksisorienteret videreuddannelse på grundskoleområdet,Københavns Professionshøjskole,København N,https://www.jobindex.dk/vis-job/h1698544,65.5,,,
"salgsassistent til morgenarbejde hos q8 charlottenlund, 5 timer|q8 danmark a/s","Salgsassistent til morgenarbejde hos Q8 Charlottenlund, 5 timer",Q8 Danmark A/S,Charlottenlund,https://www.jobindex.dk/vis-job/h1699537,65.4,,,
.net-udvikler til product engineering|danske spil a/s,.NET-udvikler til Product Engineering,Danske Spil A/S,Brøndby,https://www.jobindex.dk/vis-job/h1699369,65.4,,,
"sundhedskonsulent, som vil understøtte sunde og gode liv for borgerne på frederiksberg (barselsvikariat)|frederiksberg kommune","Sundhedskonsulent, som vil understøtte sunde og gode liv for borgerne på Frederiksberg (barselsvikariat)",Frederiksberg Kommune,Frederiksberg,https://www.jobindex.dk/vis-job/h1699222,65.4,,,
financial controller|velux fonden og villum fonden,Financial Controller,VELUX FONDEN og VILLUM FONDEN,Søborg,https://www.jobindex.dk/vis-job/h1698853,65.4,,,
product manager til digitale services|jyske bank,Product Manager til Digitale services,Jyske Bank,Silkeborg eller København V,https://www.jobindex.dk/vis-job/h1698604,65.4,,,
kok|jespers torvekøkken aps,Kok,Jespers Torvekøkken ApS,København NV,https://www.jobindex.dk/vis-job/h1698505,65.4,,,
"tekniker til am lab – additiv fremstilling - dtu construct|dtu, danmarks tekniske universitet",Tekniker til AM Lab – Additiv Fremstilling - DTU Construct,"DTU, Danmarks Tekniske Universitet",Kongens Lyngby,https://www.jobindex.dk/vis-job/h1698053,65.4,,,
administrative medarbejdere til part 21-området i trafikstyrelsen|trafikstyrelsen,Administrative medarbejdere til Part 21-området i Trafikstyrelsen,Trafikstyrelsen,København V og mulighed for hjemmearbejde,https://www.jobindex.dk/vis-job/h1699379,65.3,,,
servicemedarbejder|dsb,Servicemedarbejder,DSB,København K,https://www.jobindex.dk/vis-job/h1699465,65.3,,,
souschef - hellerup|netto,Souschef - Hellerup,Netto,Hellerup,https://www.jobindex.dk/vis-job/h1699351,65.3,,,
er du vores nye sælger hos garant valby?|garant valby,Er du vores nye sælger hos Garant Valby?,Garant Valby,Valby,https://www.jobindex.dk/vis-job/h1690535,65.3,,,
udviklingschefer til digital sundhed danmark|sundhed.dk,Udviklingschefer til Digital Sundhed Danmark,Sundhed.dk,København Ø,https://www.jobindex.dk/vis-job/h1698613,65.3,,,
vicerektor til niels brocks handelsgymnasium nvg|niels brock,Vicerektor til Niels Brocks Handelsgymnasium NVG,Niels Brock,København K,https://www.jobindex.dk/vis-job/h1698348,65.3,,,
hjælper søges til mand med sklerose i gentofte|duos a/s,Hjælper søges til mand med sklerose i Gentofte,DUOS A/S,2820 Gentofte,https://www.jobindex.dk/vis-job/r14004328,65.3,,,
studentermedhjælper til exopi consulting|ex-opi consulting aps,Studentermedhjælper til ExOpi Consulting,Ex-Opi Consulting ApS,2800 Kgs. Lyngby,https://www.jobindex.dk/vis-job/r14004283,65.3,,,
postdoc in neural circuits of sensorimotor control|ku - sund - panum kbh n,Postdoc in Neural Circuits of Sensorimotor Control,KU - SUND - PANUM KBH N,2200 København N,https://www.jobindex.dk/vis-job/r14004443,65.3,,,
